Item Name,Specification,Quantity,Unit of Measure,Delivery Date,Drawing Ref
Earthing Strip,"Copper, 25mm x 3mm",1474,MTR,2022-11-17,DM-ELEC-0001
Lighting Fixture,"IP67, LED, 24V",642,EA,2023-06-01,DM-LGT-0002
HVAC Duct Connection,"Flexible, 500mm",1782,EA,2023-03-26,DM-HVAC-0003
Cable Tray,"Ladder Type, GI",227,MTR,2024-01-12,DM-ELEC-0004
Lighting Fixture,"IP54, Fluorescent, 120V",624,EA,2024-06-23,DM-LGT-0005
Fire Rated Door,60 min fire rated,768,EA,2024-01-12,DM-ARCH-0006
Earthing Strip,"Copper, 25mm x 3mm",1619,MTR,2024-04-27,DM-ELEC-0007
Cable Tray,"Ladder Type, GI",584,MTR,2024-12-07,DM-ELEC-0008
Gate Valve,"DIN 3202, 8-inch",774,EA,2024-07-21,DM-MECH-0009
Carbon Steel Flange,"ASTM A105, PN16",1587,EA,2024-02-18,DM-MECH-0010
Fire Rated Door,"90 min fire rated, insulated",1396,EA,2023-07-15,DM-ARCH-0011
Structural Steel Beam,"HEB 200, Mild Steel",1284,EA,2025-01-15,DM-STRC-0012
HVAC Duct Connection,"Insulated, 400mm",378,EA,2025-03-18,DM-HVAC-0013
Fire Rated Door,"90 min fire rated, insulated",1728,EA,2023-05-17,DM-ARCH-0014
HVAC Duct Connection,"Flexible, 500mm",1855,EA,2022-12-30,DM-HVAC-0015
Signal Conduit,"PVC, 50mm dia",312,MTR,2024-12-11,DM-SIG-0016
Structural Steel Beam,"U-Channel, Galvanized",1393,EA,2023-10-07,DM-STRC-0017
Fire Rated Door,"90 min fire rated, insulated",674,EA,2024-02-16,DM-ARCH-0018
Lighting Fixture,"IP54, Fluorescent, 120V",1597,EA,2023-03-12,DM-LGT-0019
Signal Conduit,"HDPE, 50mm dia",375,MTR,2024-01-25,DM-SIG-0020
Fire Rated Door,"90 min fire rated, insulated",1768,EA,2025-01-27,DM-ARCH-0021
HVAC Duct Connection,"Insulated, 400mm",1533,EA,2022-07-08,DM-HVAC-0022
Control Cable,XLPE 2C x 4 sqmm,774,MTR,2024-03-24,DM-ELEC-0023
HVAC Duct Connection,"Flexible, 300mm",1577,EA,2022-12-12,DM-HVAC-0024
Gate Valve,"API 602, 4-inch",1109,EA,2022-08-06,DM-MECH-0025
Fire Rated Door,"90 min fire rated, insulated",1725,EA,2024-08-20,DM-ARCH-0026
Cable Tray,"Ladder Type, GI",499,MTR,2022-12-02,DM-ELEC-0027
HVAC Duct Connection,"Flexible, 300mm",1884,EA,2023-06-29,DM-HVAC-0028
Fire Rated Door,120 min fire resistance,1570,EA,2022-11-10,DM-ARCH-0029
Signal Conduit,"HDPE, 32mm dia",187,MTR,2024-12-22,DM-SIG-0030
Fire Rated Door,60 min fire rated,937,EA,2022-10-02,DM-ARCH-0031
Structural Steel Beam,"HEB 200, Mild Steel",1953,EA,2023-12-03,DM-STRC-0032
Fire Rated Door,60 min fire rated,1655,EA,2024-02-13,DM-ARCH-0033
Fire Rated Door,"90 min fire rated, insulated",1324,EA,2024-08-05,DM-ARCH-0034
Control Cable,XLPE 2C x 4 sqmm,1814,MTR,2022-12-16,DM-ELEC-0035
Earthing Strip,"GI, 50mm x 6mm",481,MTR,2024-06-18,DM-ELEC-0036
HVAC Duct Connection,"Flexible, 300mm",1265,EA,2023-12-09,DM-HVAC-0037
Signal Conduit,"HDPE, 50mm dia",865,MTR,2023-07-10,DM-SIG-0038
HVAC Duct Connection,"Flexible, 500mm",633,EA,2023-01-02,DM-HVAC-0039
Gate Valve,"API 602, 4-inch",364,EA,2024-01-17,DM-MECH-0040
Fire Rated Door,120 min fire resistance,186,EA,2024-03-25,DM-ARCH-0041
Earthing Strip,"GI, 50mm x 6mm",1789,MTR,2024-11-11,DM-ELEC-0042
Signal Conduit,"PVC, 75mm dia",1604,MTR,2024-07-01,DM-SIG-0043
Earthing Strip,"GI, 50mm x 6mm",1947,MTR,2024-04-02,DM-ELEC-0044
Fire Rated Door,"90 min fire rated, insulated",1200,EA,2023-05-17,DM-ARCH-0045
Cable Tray,"Ladder Type, GI",118,MTR,2023-11-24,DM-ELEC-0046
Structural Steel Beam,"U-Channel, Galvanized",966,EA,2024-09-11,DM-STRC-0047
Structural Steel Beam,"HEB 200, Mild Steel",377,EA,2022-09-01,DM-STRC-0048
Earthing Strip,"Aluminium, 20mm x 3mm",740,MTR,2024-08-13,DM-ELEC-0049
Lighting Fixture,"IP66, LED, 230V",678,EA,2024-07-16,DM-LGT-0050
Signal Conduit,"HDPE, 50mm dia",588,MTR,2023-11-22,DM-SIG-0051
Signal Conduit,"HDPE, 50mm dia",222,MTR,2023-10-22,DM-SIG-0052
Earthing Strip,"Copper, 25mm x 3mm",1287,MTR,2024-09-11,DM-ELEC-0053
Cable Tray,"Perforated, AL",652,MTR,2024-02-13,DM-ELEC-0054
Lighting Fixture,"IP67, LED, 24V",1885,EA,2022-12-05,DM-LGT-0055
Lighting Fixture,"IP66, LED, 230V",1764,EA,2023-12-11,DM-LGT-0056
Gate Valve,"API 600, 6-inch",461,EA,2024-07-27,DM-MECH-0057
Earthing Strip,"Copper, 25mm x 3mm",1905,MTR,2025-02-26,DM-ELEC-0058
Carbon Steel Flange,"DIN 2633, PN40",819,EA,2024-09-28,DM-MECH-0059
HVAC Duct Connection,"Flexible, 300mm",1136,EA,2022-11-03,DM-HVAC-0060
Gate Valve,"DIN 3202, 8-inch",758,EA,2023-02-14,DM-MECH-0061
Fire Rated Door,60 min fire rated,1578,EA,2023-03-01,DM-ARCH-0062
Cable Tray,"Perforated, AL",444,MTR,2024-03-25,DM-ELEC-0063
Fire Rated Door,60 min fire rated,1642,EA,2023-12-26,DM-ARCH-0064
Earthing Strip,"Copper, 25mm x 3mm",98,MTR,2024-06-19,DM-ELEC-0065
Structural Steel Beam,"IPE 300, Hot Rolled",1607,EA,2024-07-05,DM-STRC-0066
HVAC Duct Connection,"Insulated, 400mm",1131,EA,2022-07-09,DM-HVAC-0067
Gate Valve,"API 602, 4-inch",733,EA,2023-03-31,DM-MECH-0068
Carbon Steel Flange,"DIN 2633, PN40",1121,EA,2024-03-09,DM-MECH-0069
Structural Steel Beam,"IPE 300, Hot Rolled",223,EA,2023-06-25,DM-STRC-0070
Control Cable,"CU/XLPE/PVC, 3C x 6 sqmm",255,MTR,2024-11-25,DM-ELEC-0071
Structural Steel Beam,"IPE 300, Hot Rolled",872,EA,2024-04-07,DM-STRC-0072
Lighting Fixture,"IP66, LED, 230V",760,EA,2025-03-08,DM-LGT-0073
Control Cable,XLPE 2C x 4 sqmm,1808,MTR,2023-12-25,DM-ELEC-0074
Cable Tray,"Ladder Type, GI",1688,MTR,2022-10-01,DM-ELEC-0075
Signal Conduit,"PVC, 50mm dia",760,MTR,2022-11-05,DM-SIG-0076
Cable Tray,"Perforated, AL",1187,MTR,2023-02-27,DM-ELEC-0077
Earthing Strip,"GI, 50mm x 6mm",902,MTR,2023-07-13,DM-ELEC-0078
Carbon Steel Flange,"ASTM A182, CL150",1011,EA,2024-05-29,DM-MECH-0079
Lighting Fixture,"IP67, LED, 24V",196,EA,2022-08-25,DM-LGT-0080
Cable Tray,"Solid Bottom, SS",1772,MTR,2022-09-07,DM-ELEC-0081
Lighting Fixture,"IP67, LED, 24V",154,EA,2024-06-10,DM-LGT-0082
Earthing Strip,"GI, 50mm x 6mm",791,MTR,2024-01-21,DM-ELEC-0083
Earthing Strip,"Aluminium, 20mm x 3mm",355,MTR,2023-05-17,DM-ELEC-0084
Gate Valve,"API 600, 6-inch",393,EA,2023-07-25,DM-MECH-0085
Carbon Steel Flange,"DIN 2633, PN40",422,EA,2023-07-28,DM-MECH-0086
HVAC Duct Connection,"Flexible, 300mm",1875,EA,2023-12-08,DM-HVAC-0087
Control Cable,XLPE 2C x 4 sqmm,1718,MTR,2023-03-04,DM-ELEC-0088
Structural Steel Beam,"IPE 300, Hot Rolled",1611,EA,2023-04-12,DM-STRC-0089
Control Cable,XLPE 2C x 4 sqmm,1183,MTR,2022-09-05,DM-ELEC-0090
Cable Tray,"Perforated, AL",178,MTR,2024-03-19,DM-ELEC-0091
Carbon Steel Flange,"DIN 2633, PN40",1393,EA,2024-04-13,DM-MECH-0092
Structural Steel Beam,"IPE 300, Hot Rolled",1231,EA,2022-07-25,DM-STRC-0093
Structural Steel Beam,"HEB 200, Mild Steel",192,EA,2024-01-25,DM-STRC-0094
Structural Steel Beam,"HEB 200, Mild Steel",1043,EA,2022-09-07,DM-STRC-0095
Signal Conduit,"PVC, 50mm dia",1677,MTR,2023-01-22,DM-SIG-0096
Structural Steel Beam,"IPE 300, Hot Rolled",1311,EA,2022-08-06,DM-STRC-0097
Structural Steel Beam,"U-Channel, Galvanized",109,EA,2023-06-15,DM-STRC-0098
Structural Steel Beam,"IPE 300, Hot Rolled",1825,EA,2024-04-08,DM-STRC-0099
Structural Steel Beam,"IPE 300, Hot Rolled",892,EA,2025-01-14,DM-STRC-0100
